month,category,total_amount,transaction_count,active_user_count,month_total,monthly_ratio_percent,prev_month_category_amount,prev_month_change_rate_percent
2026-01,납부,86491200,1072,100,288556600,29.9737,,
2026-01,쇼핑,69287800,1439,100,288556600,24.0119,,
2026-01,식비,29112300,1950,100,288556600,10.0889,,
2026-01,여가,26555700,536,99,288556600,9.2029,,
2026-01,교육,22564300,408,99,288556600,7.8197,,
2026-01,의료,18363000,421,98,288556600,6.3637,,
2026-01,교통,12539200,692,100,288556600,4.3455,,
2026-01,해외,10251300,85,58,288556600,3.5526,,
2026-01,사교,7877000,403,99,288556600,2.7298,,
2026-01,생활,5514800,355,99,288556600,1.9112,,
2026-02,납부,87687100,1088,100,286277700,30.6301,86491200.0,1.3826840187209797
2026-02,쇼핑,69873200,1435,100,286277700,24.4075,69287800.0,0.8448817829401424
2026-02,식비,29430900,2065,100,286277700,10.2805,29112300.0,1.094382786657186
2026-02,여가,26222700,562,100,286277700,9.1599,26555700.0,-1.2539680746506399
2026-02,교육,18500900,387,96,286277700,6.4626,22564300.0,-18.008092429191244
2026-02,의료,17615100,453,98,286277700,6.1532,18363000.0,-4.072863911125633
2026-02,교통,12007200,726,100,286277700,4.1942,12539200.0,-4.24269490876611
2026-02,사교,9961700,505,99,286277700,3.4797,7877000.0,26.4656595150438
2026-02,해외,9312500,81,54,286277700,3.253,10251300.0,-9.157862905192513
2026-02,생활,5666400,338,94,286277700,1.9793,5514800.0,2.7489664176398056
2026-03,납부,83551700,1073,100,295595800,28.2655,87687100.0,-4.716087086926127
2026-03,쇼핑,71856400,1450,100,295595800,24.309,69873200.0,2.8382842062478892
2026-03,여가,30168300,598,97,295595800,10.2059,26222700.0,15.046505508586073
2026-03,식비,29403000,2084,100,295595800,9.947,29430900.0,-0.09479832421026879
2026-03,교육,23495900,414,97,295595800,7.9487,18500900.0,26.998686550384036
2026-03,의료,20764300,448,98,295595800,7.0246,17615100.0,17.87784344113857
2026-03,교통,12542500,749,100,295595800,4.2431,12007200.0,4.458158438270371
2026-03,사교,9599500,509,100,295595800,3.2475,9961700.0,-3.635925595028961
2026-03,해외,8985500,68,50,295595800,3.0398,9312500.0,-3.5114093959731543
2026-03,생활,5228700,353,97,295595800,1.7689,5666400.0,-7.7244811520542145
2026-04,납부,87939100,1065,100,295368600,29.7727,83551700.0,5.251119965243077
2026-04,쇼핑,75189200,1433,100,295368600,25.4561,71856400.0,4.6381394002482725
2026-04,식비,30048900,2032,100,295368600,10.1734,29403000.0,2.196714620957045
2026-04,여가,25606200,564,99,295368600,8.6692,30168300.0,-15.122164656278278
2026-04,교육,20784300,404,97,295368600,7.0367,23495900.0,-11.540736894522023
2026-04,의료,20740700,435,98,295368600,7.022,20764300.0,-0.11365661255135016
2026-04,교통,11352900,716,100,295368600,3.8436,12542500.0,-9.484552521427148
2026-04,사교,9879700,493,98,295368600,3.3449,9599500.0,2.918902026147195
2026-04,해외,7439100,74,57,295368600,2.5186,8985500.0,-17.20994936286239
2026-04,생활,6388500,367,98,295368600,2.1629,5228700.0,22.181421768317172
