period_type,period,metric_name,metric_value,metric_unit,compare_period,change_rate_percent,trend_label,context
month,2026-01,monthly_total_amount,288556600.0,KRW,,,비교불가,월간 승인 소비 총액
month,2026-01,average_amount_per_active_user,2885566.0,KRW,,,참고,활성 사용자 1인당 월간 소비
month,2026-01,active_user_count,100.0,users,,,참고,해당 월 소비가 있는 사용자 수
month,2026-01,approved_transaction_count,7361.0,transactions,,,참고,승인 거래 건수
month,2026-01,online_ratio_percent,46.4332,percent,,,참고,온라인 결제 금액 비중
month,2026-01,installment_ratio_percent,18.4566,percent,,,참고,할부 결제 금액 비중
month,2026-01,late_night_ratio_percent,9.9414,percent,,,참고,22시 이후 야간 소비 금액 비중
month,2026-01,budget_usage_rate_percent,154.722,percent,,,참고,활성 사용자 목표 지출 한도 대비 사용률
month,2026-01,top_category_amount,86491200.0,KRW,,,참고,월간 최대 소비 카테고리: 납부
month,2026-02,monthly_total_amount,286277700.0,KRW,previous_month,-0.789758404417019,유지,월간 승인 소비 총액
month,2026-02,average_amount_per_active_user,2862777.0,KRW,previous_month,,참고,활성 사용자 1인당 월간 소비
month,2026-02,active_user_count,100.0,users,previous_month,,참고,해당 월 소비가 있는 사용자 수
month,2026-02,approved_transaction_count,7640.0,transactions,previous_month,,참고,승인 거래 건수
month,2026-02,online_ratio_percent,47.6152,percent,previous_month,,참고,온라인 결제 금액 비중
month,2026-02,installment_ratio_percent,19.1591,percent,previous_month,,참고,할부 결제 금액 비중
month,2026-02,late_night_ratio_percent,7.0732,percent,previous_month,,참고,22시 이후 야간 소비 금액 비중
month,2026-02,budget_usage_rate_percent,153.5001,percent,previous_month,,참고,활성 사용자 목표 지출 한도 대비 사용률
month,2026-02,top_category_amount,87687100.0,KRW,,,참고,월간 최대 소비 카테고리: 납부
month,2026-03,monthly_total_amount,295595800.0,KRW,previous_month,3.254916467471969,유지,월간 승인 소비 총액
month,2026-03,average_amount_per_active_user,2955958.0,KRW,previous_month,,참고,활성 사용자 1인당 월간 소비
month,2026-03,active_user_count,100.0,users,previous_month,,참고,해당 월 소비가 있는 사용자 수
month,2026-03,approved_transaction_count,7746.0,transactions,previous_month,,참고,승인 거래 건수
month,2026-03,online_ratio_percent,46.2362,percent,previous_month,,참고,온라인 결제 금액 비중
month,2026-03,installment_ratio_percent,19.2409,percent,previous_month,,참고,할부 결제 금액 비중
month,2026-03,late_night_ratio_percent,7.8949,percent,previous_month,,참고,22시 이후 야간 소비 금액 비중
month,2026-03,budget_usage_rate_percent,158.4964,percent,previous_month,,참고,활성 사용자 목표 지출 한도 대비 사용률
month,2026-03,top_category_amount,83551700.0,KRW,,,참고,월간 최대 소비 카테고리: 납부
month,2026-04,monthly_total_amount,295368600.0,KRW,previous_month,-0.07686171454398202,유지,월간 승인 소비 총액
month,2026-04,average_amount_per_active_user,2953686.0,KRW,previous_month,,참고,활성 사용자 1인당 월간 소비
month,2026-04,active_user_count,100.0,users,previous_month,,참고,해당 월 소비가 있는 사용자 수
month,2026-04,approved_transaction_count,7583.0,transactions,previous_month,,참고,승인 거래 건수
month,2026-04,online_ratio_percent,44.4404,percent,previous_month,,참고,온라인 결제 금액 비중
month,2026-04,installment_ratio_percent,20.0139,percent,previous_month,,참고,할부 결제 금액 비중
month,2026-04,late_night_ratio_percent,8.5883,percent,previous_month,,참고,22시 이후 야간 소비 금액 비중
month,2026-04,budget_usage_rate_percent,158.3746,percent,previous_month,,참고,활성 사용자 목표 지출 한도 대비 사용률
month,2026-04,top_category_amount,87939100.0,KRW,,,참고,월간 최대 소비 카테고리: 납부
