month,category,total_amount,transaction_count,active_user_count,month_total,monthly_ratio_percent,prev_month_category_amount,prev_month_change_rate_percent
2026-01,납부,86491200,1072,100,288556600,29.9737,,
2026-01,쇼핑,69287800,1439,100,288556600,24.0119,,
2026-01,식비,29112300,1950,100,288556600,10.0889,,
2026-01,여가,26555700,536,99,288556600,9.2029,,
2026-01,교육,22564300,408,99,288556600,7.8197,,
2026-01,의료,18363000,421,98,288556600,6.3637,,
2026-01,교통,12539200,692,100,288556600,4.3455,,
2026-01,해외,10251300,85,58,288556600,3.5526,,
2026-01,사교,7877000,403,99,288556600,2.7298,,
2026-01,생활,5514800,355,99,288556600,1.9112,,
