date,active_user_count,transaction_count,total_amount,online_amount,late_night_amount,no_spending_user_count,average_amount_per_active_user,average_transaction_amount,online_ratio_percent,late_night_ratio_percent
2026-01-01,82,185,6284800,3124800.0,532800.0,18,76643.9024,33971.8919,49.72,8.4776
2026-01-02,87,205,7504000,3335100.0,1147100.0,13,86252.8736,36604.878,44.4443,15.2865
2026-01-03,86,179,5456900,3090200.0,1022000.0,14,63452.3256,30485.4749,56.6292,18.7286
2026-01-04,91,230,10931600,3863300.0,2257600.0,9,120127.4725,47528.6957,35.3407,20.6521
2026-01-05,98,367,18432000,11858000.0,343000.0,2,188081.6327,50223.4332,64.3338,1.8609
2026-01-06,92,220,5189100,1269700.0,482500.0,8,56403.2609,23586.8182,24.4686,9.2983
2026-01-07,88,204,10153000,3160600.0,3668300.0,12,115375.0,49769.6078,31.1297,36.1302
2026-01-08,93,217,8105300,3012100.0,544700.0,7,87153.7634,37351.6129,37.1621,6.7203
2026-01-09,79,214,6279800,2600600.0,1137000.0,21,79491.1392,29344.8598,41.4121,18.1057
2026-01-10,98,394,21536500,11783900.0,1554600.0,2,219760.2041,54661.1675,54.7159,7.2184
2026-01-11,89,231,6924800,3079100.0,899900.0,11,77806.7416,29977.4892,44.4648,12.9953
2026-01-12,93,225,6249100,2601200.0,486300.0,7,67194.6237,27773.7778,41.6252,7.7819
2026-01-13,85,221,5284100,2180000.0,417800.0,15,62165.8824,23909.9548,41.2558,7.9067
2026-01-14,81,185,5109500,1292100.0,489800.0,19,63080.2469,27618.9189,25.2882,9.5861
2026-01-15,99,418,23139500,13754600.0,1008700.0,1,233732.3232,55357.6555,59.4421,4.3592
2026-01-16,84,203,5275800,2709800.0,898800.0,16,62807.1429,25989.1626,51.3628,17.0363
2026-01-17,87,223,5671500,2387100.0,625600.0,13,65189.6552,25432.7354,42.0894,11.0306
2026-01-18,90,205,8810800,3473000.0,397400.0,10,97897.7778,42979.5122,39.4175,4.5104
2026-01-19,82,182,5475900,1886200.0,290900.0,18,66779.2683,30087.3626,34.4455,5.3124
2026-01-20,100,409,22245400,12084000.0,1664800.0,0,222454.0,54389.7311,54.3213,7.4838
2026-01-21,83,189,5719700,1429800.0,1605000.0,17,68912.0482,30262.963,24.9978,28.0609
2026-01-22,89,194,7301300,3055700.0,1874200.0,11,82037.0787,37635.567,41.8515,25.6694
2026-01-23,78,173,5862500,3085900.0,546900.0,22,75160.2564,33887.2832,52.638,9.3288
2026-01-24,84,214,6286200,2650200.0,743900.0,16,74835.7143,29374.7664,42.159,11.8339
2026-01-25,99,378,25296300,13535500.0,134200.0,1,255518.1818,66921.4286,53.5078,0.5305
2026-01-26,87,187,4264600,1912900.0,148300.0,13,49018.3908,22805.3476,44.8553,3.4775
2026-01-27,84,181,5792200,2953400.0,640800.0,16,68954.7619,32001.105,50.9893,11.0632
2026-01-28,95,330,15900400,5473400.0,1639600.0,5,167372.6316,48183.0303,34.423,10.3117
2026-01-29,87,205,5134500,2301800.0,419000.0,13,59017.2414,25046.3415,44.8301,8.1605
2026-01-30,84,192,6413000,2978100.0,700300.0,16,76345.2381,33401.0417,46.4385,10.92
2026-01-31,86,201,6526500,2064000.0,364700.0,14,75889.5349,32470.1493,31.6249,5.588
