user_id,month,monthly_total_amount,transaction_count,monthly_budget_usage_rate_percent,previous_month_change_rate_percent,fixed_cost_amount,variable_cost_amount,subscription_total,top_category,top_category_amount,top_category_ratio_percent,frictionless_spending_ratio_percent,installment_amount,installment_ratio_percent,source_module
1,2026-01,2765200,77,177.2564,0.0,0,2765200,6200,납부,1371900,49.613,41.8053,752400,27.2096,catcher_llm.analysis.user_monthly_analysis
2,2026-01,3343600,83,164.7094,0.0,0,3343600,0,의료,1057600,31.6306,36.4128,490800,14.6788,catcher_llm.analysis.user_monthly_analysis
3,2026-01,3953900,65,155.0549,0.0,0,3953900,0,교육,1173400,29.677,52.9503,566900,14.3377,catcher_llm.analysis.user_monthly_analysis
4,2026-01,3915200,95,138.8369,0.0,0,3915200,0,납부,1254900,32.052,38.6213,602700,15.3938,catcher_llm.analysis.user_monthly_analysis
5,2026-01,2253900,77,130.2832,0.0,0,2253900,0,납부,934000,41.4393,66.9284,350200,15.5375,catcher_llm.analysis.user_monthly_analysis
6,2026-01,2902100,64,115.1627,0.0,0,2902100,15100,여가,567200,19.5445,45.7048,0,0.0,catcher_llm.analysis.user_monthly_analysis
7,2026-01,1265400,52,253.08,0.0,0,1265400,6500,납부,525700,41.5442,51.8571,412900,32.63,catcher_llm.analysis.user_monthly_analysis
8,2026-01,2508200,83,248.3366,0.0,0,2508200,0,납부,1194100,47.6078,78.0719,393800,15.7005,catcher_llm.analysis.user_monthly_analysis
9,2026-01,2953500,79,150.6888,0.0,0,2953500,0,납부,941200,31.8673,59.8984,561600,19.0147,catcher_llm.analysis.user_monthly_analysis
10,2026-01,4556800,67,173.9237,0.0,0,4556800,0,쇼핑,1927600,42.3016,40.4626,1814300,39.8152,catcher_llm.analysis.user_monthly_analysis
11,2026-01,989100,55,197.82,0.0,0,989100,0,납부,825400,83.4496,78.9,0,0.0,catcher_llm.analysis.user_monthly_analysis
12,2026-01,3876600,70,147.9618,0.0,0,3876600,0,쇼핑,1356200,34.9843,24.377,1031500,26.6084,catcher_llm.analysis.user_monthly_analysis
13,2026-01,3742800,57,171.6881,0.0,0,3742800,0,여가,1219500,32.5826,58.6539,355200,9.4902,catcher_llm.analysis.user_monthly_analysis
14,2026-01,1874300,76,131.993,0.0,0,1874300,0,납부,747900,39.9029,49.2931,4600,0.2454,catcher_llm.analysis.user_monthly_analysis
15,2026-01,3802200,73,138.7664,0.0,0,3802200,0,쇼핑,1888000,49.6555,25.6878,1240000,32.6127,catcher_llm.analysis.user_monthly_analysis
16,2026-01,3231200,80,105.2508,0.0,0,3231200,14900,쇼핑,776400,24.0282,54.1254,241000,7.4585,catcher_llm.analysis.user_monthly_analysis
17,2026-01,2798500,59,119.0851,0.0,0,2798500,0,쇼핑,763800,27.2932,43.5984,457800,16.3588,catcher_llm.analysis.user_monthly_analysis
18,2026-01,3051500,71,130.9657,0.0,0,3051500,0,납부,981500,32.1645,54.134,306200,10.0344,catcher_llm.analysis.user_monthly_analysis
19,2026-01,4637100,54,173.6742,0.0,0,4637100,0,쇼핑,1780100,38.3882,28.2806,1706900,36.8096,catcher_llm.analysis.user_monthly_analysis
20,2026-01,1493800,65,298.76,0.0,0,1493800,0,납부,874600,58.5487,84.3353,195700,13.1008,catcher_llm.analysis.user_monthly_analysis
21,2026-01,3577800,66,146.6311,0.0,0,3577800,0,쇼핑,990300,27.679,42.0454,351800,9.8329,catcher_llm.analysis.user_monthly_analysis
22,2026-01,1316200,75,263.24,0.0,0,1316200,0,납부,819000,62.2246,72.451,0,0.0,catcher_llm.analysis.user_monthly_analysis
23,2026-01,1452300,54,290.46,0.0,0,1452300,0,여가,512200,35.2682,60.7175,319900,22.0271,catcher_llm.analysis.user_monthly_analysis
24,2026-01,4498200,65,156.1875,0.0,0,4498200,0,의료,1092700,24.2919,46.632,1312700,29.1828,catcher_llm.analysis.user_monthly_analysis
25,2026-01,3844900,73,146.1939,0.0,0,3844900,12800,납부,1148800,29.8785,52.4929,989300,25.7302,catcher_llm.analysis.user_monthly_analysis
26,2026-01,2706800,95,127.6792,0.0,0,2706800,0,납부,997800,36.8627,56.9455,12500,0.4618,catcher_llm.analysis.user_monthly_analysis
27,2026-01,2739200,95,138.3434,0.0,0,2739200,0,쇼핑,863300,31.5165,60.9594,580500,21.1923,catcher_llm.analysis.user_monthly_analysis
28,2026-01,2814100,89,158.0955,0.0,0,2814100,0,납부,1233300,43.8257,62.8442,0,0.0,catcher_llm.analysis.user_monthly_analysis
29,2026-01,1287400,85,257.48,0.0,0,1287400,0,납부,955200,74.1961,41.2149,0,0.0,catcher_llm.analysis.user_monthly_analysis
30,2026-01,3961800,101,145.6544,0.0,0,3961800,0,납부,1988900,50.2019,58.9934,295600,7.4613,catcher_llm.analysis.user_monthly_analysis
31,2026-01,1133200,51,226.64,0.0,0,1133200,4800,납부,740900,65.3812,64.0487,6300,0.5559,catcher_llm.analysis.user_monthly_analysis
32,2026-01,2747500,57,132.0913,0.0,0,2747500,8300,교육,641300,23.3412,43.3813,686800,24.9973,catcher_llm.analysis.user_monthly_analysis
33,2026-01,6095300,67,239.9724,0.0,0,6095300,0,쇼핑,3167200,51.9613,27.4441,3139100,51.5003,catcher_llm.analysis.user_monthly_analysis
34,2026-01,955500,90,191.1,0.0,0,955500,0,납부,744700,77.9383,59.3721,0,0.0,catcher_llm.analysis.user_monthly_analysis
35,2026-01,1080800,64,216.16,0.0,0,1080800,4800,납부,601700,55.6717,54.0711,8100,0.7494,catcher_llm.analysis.user_monthly_analysis
36,2026-01,3562700,60,130.9816,0.0,0,3562700,0,납부,1224600,34.3728,36.1495,88100,2.4728,catcher_llm.analysis.user_monthly_analysis
37,2026-01,2924300,61,124.4383,0.0,0,2924300,0,납부,1011800,34.5997,59.0774,574700,19.6526,catcher_llm.analysis.user_monthly_analysis
38,2026-01,2725300,81,148.1141,0.0,0,2725300,0,납부,1081800,39.6947,54.3647,19100,0.7008,catcher_llm.analysis.user_monthly_analysis
39,2026-01,1551600,57,310.32,0.0,0,1551600,0,납부,656200,42.2918,45.7914,0,0.0,catcher_llm.analysis.user_monthly_analysis
40,2026-01,3067200,87,105.4021,0.0,0,3067200,0,쇼핑,930500,30.3371,49.4816,230800,7.5248,catcher_llm.analysis.user_monthly_analysis
41,2026-01,2885000,60,104.1516,0.0,0,2885000,12700,식비,609300,21.1196,47.2444,0,0.0,catcher_llm.analysis.user_monthly_analysis
42,2026-01,4638600,90,182.622,0.0,0,4638600,0,쇼핑,1739900,37.5092,45.5418,1254100,27.0362,catcher_llm.analysis.user_monthly_analysis
43,2026-01,817700,67,163.54,0.0,0,817700,0,납부,600600,73.4499,76.7519,13100,1.6021,catcher_llm.analysis.user_monthly_analysis
44,2026-01,1300000,52,260.0,0.0,0,1300000,0,납부,927200,71.3231,77.2231,0,0.0,catcher_llm.analysis.user_monthly_analysis
45,2026-01,2930100,71,173.3787,0.0,0,2930100,0,의료,1047500,35.7496,36.7359,633900,21.6341,catcher_llm.analysis.user_monthly_analysis
46,2026-01,2400900,86,125.7016,0.0,0,2400900,0,쇼핑,739100,30.7843,33.9498,320600,13.3533,catcher_llm.analysis.user_monthly_analysis
47,2026-01,1662700,58,332.54,0.0,0,1662700,5500,납부,701100,42.1664,92.5483,309000,18.5842,catcher_llm.analysis.user_monthly_analysis
48,2026-01,2890200,79,165.1543,0.0,0,2890200,0,납부,1329300,45.9934,31.8109,361200,12.4974,catcher_llm.analysis.user_monthly_analysis
49,2026-01,3041500,80,165.2989,0.0,0,3041500,9000,납부,800600,26.3225,64.557,642300,21.1179,catcher_llm.analysis.user_monthly_analysis
50,2026-01,3623200,77,150.3402,0.0,0,3623200,8400,의료,838000,23.1287,36.5561,649500,17.9261,catcher_llm.analysis.user_monthly_analysis
51,2026-01,3826200,61,125.8618,0.0,0,3826200,10600,납부,969200,25.3306,57.6107,990900,25.8978,catcher_llm.analysis.user_monthly_analysis
52,2026-01,3436300,88,150.7149,0.0,0,3436300,6800,쇼핑,1276800,37.1562,56.7034,436100,12.691,catcher_llm.analysis.user_monthly_analysis
53,2026-01,3903200,76,130.9799,0.0,0,3903200,14300,납부,1303500,33.3957,51.2016,457700,11.7263,catcher_llm.analysis.user_monthly_analysis
54,2026-01,6080600,85,205.4257,0.0,0,6080600,0,쇼핑,3256100,53.549,34.1545,2646300,43.5204,catcher_llm.analysis.user_monthly_analysis
55,2026-01,2656000,52,124.6948,0.0,0,2656000,0,납부,614500,23.1363,42.3005,479900,18.0685,catcher_llm.analysis.user_monthly_analysis
56,2026-01,2504400,83,120.9855,0.0,0,2504400,0,납부,952900,38.049,29.1088,33700,1.3456,catcher_llm.analysis.user_monthly_analysis
57,2026-01,2860400,60,116.2764,0.0,0,2860400,11700,납부,762900,26.6711,38.4527,495000,17.3053,catcher_llm.analysis.user_monthly_analysis
