month,age_group,gender,total_amount,active_user_count,transaction_count,average_personal_score,target_budget_total,average_amount_per_active_user,budget_usage_rate_percent
2026-01,40대,Male,59075100,17,1233,58.5294,36250000,3475005.8824,162.9658
2026-01,50대,Female,47882800,16,1173,58.6875,26200000,2992675.0,182.7588
2026-01,50대,Male,45735400,15,1140,60.0,29220000,3049026.6667,156.5209
2026-01,40대,Female,32104300,14,1036,59.7143,23300000,2293164.2857,137.7867
2026-01,20대 이하,Female,32038400,13,1016,57.2308,22370000,2464492.3077,143.2204
2026-01,30대,Female,27473800,9,617,58.5556,19450000,3052644.4444,141.2535
2026-01,20대 이하,Male,23832100,10,693,55.9,16070000,2383210.0,148.3018
2026-01,30대,Male,20414700,6,453,57.8333,13640000,3402450.0,149.6679
2026-02,40대,Male,55484200,17,1326,58.5294,36250000,3263776.4706,153.0599
2026-02,50대,Male,45713200,15,1170,60.0,29220000,3047546.6667,156.4449
2026-02,50대,Female,41847300,16,1217,58.6875,26200000,2615456.25,159.7225
2026-02,40대,Female,37579800,14,964,59.7143,23300000,2684271.4286,161.2867
2026-02,20대 이하,Female,33537700,13,1010,57.2308,22370000,2579823.0769,149.9227
2026-02,30대,Female,29264300,9,721,58.5556,19450000,3251588.8889,150.4591
2026-02,20대 이하,Male,23798500,10,814,55.9,16070000,2379850.0,148.0927
2026-02,30대,Male,19052700,6,418,57.8333,13640000,3175450.0,139.6826
2026-03,40대,Male,57787800,17,1371,58.5294,36250000,3399282.3529,159.4146
2026-03,50대,Male,51337300,15,1147,60.0,29220000,3422486.6667,175.6923
2026-03,50대,Female,42184500,16,1237,58.6875,26200000,2636531.25,161.0095
2026-03,40대,Female,36890300,14,940,59.7143,23300000,2635021.4286,158.3275
2026-03,20대 이하,Female,30529000,13,1053,57.2308,22370000,2348384.6154,136.473
2026-03,30대,Female,30357800,9,694,58.5556,19450000,3373088.8889,156.0812
2026-03,20대 이하,Male,27025100,10,838,55.9,16070000,2702510.0,168.1711
2026-03,30대,Male,19484000,6,466,57.8333,13640000,3247333.3333,142.8446
2026-04,40대,Male,63167100,17,1363,58.5294,36250000,3715711.7647,174.2541
2026-04,50대,Male,45879300,15,1220,60.0,29220000,3058620.0,157.0133
2026-04,50대,Female,45351900,16,1132,58.6875,26200000,2834493.75,173.0989
2026-04,40대,Female,35532300,14,970,59.7143,23300000,2538021.4286,152.4991
2026-04,20대 이하,Female,32624700,13,947,57.2308,22370000,2509592.3077,145.8413
2026-04,30대,Female,27039800,9,674,58.5556,19450000,3004422.2222,139.0221
2026-04,20대 이하,Male,26142500,10,773,55.9,16070000,2614250.0,162.6789
2026-04,30대,Male,19631000,6,504,57.8333,13640000,3271833.3333,143.9223
