user_id,month,monthly_total_amount,transaction_count,monthly_budget_usage_rate_percent,previous_month_change_rate_percent,fixed_cost_amount,variable_cost_amount,subscription_total,top_category,top_category_amount,top_category_ratio_percent,frictionless_spending_ratio_percent,installment_amount,installment_ratio_percent,source_module
1,2026-01,2765200,77,177.2564,0.0,0,2765200,6200,납부,1371900,49.613,41.8053,752400,27.2096,catcher_llm.analysis.user_monthly_analysis
1,2026-02,2242800,102,143.7692,-18.8919,0,2242800,9300,납부,870200,38.7997,74.3044,258700,11.5347,catcher_llm.analysis.user_monthly_analysis
1,2026-03,1910500,70,122.4679,-14.8163,0,1910500,9100,납부,766700,40.1309,60.6124,181100,9.4792,catcher_llm.analysis.user_monthly_analysis
1,2026-04,3497700,72,224.2115,83.0777,0,3497700,9400,쇼핑,1350300,38.6054,48.2374,1561100,44.6322,catcher_llm.analysis.user_monthly_analysis
2,2026-01,3343600,83,164.7094,0.0,0,3343600,0,의료,1057600,31.6306,36.4128,490800,14.6788,catcher_llm.analysis.user_monthly_analysis
2,2026-02,4332600,60,213.4286,29.5789,0,4332600,0,쇼핑,2673300,61.702,24.895,2302600,53.1459,catcher_llm.analysis.user_monthly_analysis
2,2026-03,4469000,68,220.1478,3.1482,0,4469000,0,쇼핑,1725100,38.6015,28.5053,1600400,35.8111,catcher_llm.analysis.user_monthly_analysis
2,2026-04,3024300,100,148.9803,-32.3271,0,3024300,0,납부,1403600,46.4107,41.4046,147700,4.8838,catcher_llm.analysis.user_monthly_analysis
3,2026-01,3953900,65,155.0549,0.0,0,3953900,0,교육,1173400,29.677,52.9503,566900,14.3377,catcher_llm.analysis.user_monthly_analysis
3,2026-02,3689800,83,144.698,-6.6795,0,3689800,0,납부,1736000,47.0486,35.8095,606000,16.4237,catcher_llm.analysis.user_monthly_analysis
3,2026-03,4602000,98,180.4706,24.7222,0,4602000,0,쇼핑,1613400,35.0587,42.8814,877400,19.0656,catcher_llm.analysis.user_monthly_analysis
3,2026-04,3849000,73,150.9412,-16.3625,0,3849000,0,납부,1381100,35.882,35.9704,1218100,31.6472,catcher_llm.analysis.user_monthly_analysis
4,2026-01,3915200,95,138.8369,0.0,0,3915200,0,납부,1254900,32.052,38.6213,602700,15.3938,catcher_llm.analysis.user_monthly_analysis
4,2026-02,4237100,93,150.2518,8.2218,0,4237100,0,쇼핑,1951400,46.0551,30.738,1667600,39.3571,catcher_llm.analysis.user_monthly_analysis
4,2026-03,4665800,100,165.4539,10.1178,0,4665800,0,교육,1350800,28.9511,55.2788,991700,21.2547,catcher_llm.analysis.user_monthly_analysis
4,2026-04,4986100,81,176.8121,6.8648,0,4986100,0,쇼핑,2034800,40.8095,15.1922,2282900,45.7853,catcher_llm.analysis.user_monthly_analysis
5,2026-01,2253900,77,130.2832,0.0,0,2253900,0,납부,934000,41.4393,66.9284,350200,15.5375,catcher_llm.analysis.user_monthly_analysis
5,2026-02,2770500,59,160.1445,22.9203,0,2770500,0,납부,1011200,36.4988,39.5055,302300,10.9114,catcher_llm.analysis.user_monthly_analysis
5,2026-03,2186400,87,126.3815,-21.0828,0,2186400,0,납부,1155000,52.8266,46.7252,53900,2.4652,catcher_llm.analysis.user_monthly_analysis
5,2026-04,2419000,69,139.8266,10.6385,0,2419000,0,납부,644000,26.6226,64.291,0,0.0,catcher_llm.analysis.user_monthly_analysis
6,2026-01,2902100,64,115.1627,0.0,0,2902100,15100,여가,567200,19.5445,45.7048,0,0.0,catcher_llm.analysis.user_monthly_analysis
