week_start,week_end,active_user_count,transaction_count,total_amount,weekday_amount,weekend_amount,weekly_spending_volatility,average_daily_amount,weekday_spending_ratio_percent,weekend_spending_ratio_percent,weekend_overspending_index,prev_week_change_rate_percent
2025-12-29,2026-01-04,100,799,30177300,13788800.0,16388500.0,2086804.0389253132,4311042.8571,45.6926,54.3074,2.9713,
2026-01-05,2026-01-11,100,1847,76620500,48159200.0,28461300.0,5951982.633766085,10945785.7143,62.8542,37.1458,1.4775,153.9011111000653
2026-01-12,2026-01-18,100,1680,59540300,45058000.0,14482300.0,6091108.937707518,8505757.1429,75.6765,24.3235,0.8035,-22.291945367101494
2026-01-19,2026-01-25,100,1739,78187300,46604800.0,31582500.0,8029706.266541683,11169614.2857,59.6066,40.3934,1.6942,31.318283582716244
2026-01-26,2026-02-01,100,1534,51597800,37504700.0,14093100.0,3616709.841210683,7371114.2857,72.6866,27.3134,0.9394,-34.0074411061643
2026-02-02,2026-02-08,100,1811,63561300,50609400.0,12951900.0,5363969.525701378,9080185.7143,79.623,20.377,0.6398,23.18606607258449
2026-02-09,2026-02-15,100,2020,79874000,51966700.0,27907300.0,6799282.180540255,11410571.4286,65.0608,34.9392,1.3426,25.664515986929153
2026-02-16,2026-02-22,100,1852,71195000,54180700.0,17014300.0,6156428.123845972,10170714.2857,76.1018,23.8982,0.7851,-10.865863735383229
2026-02-23,2026-03-01,100,1947,70660400,48255700.0,22404700.0,6667358.655603355,10094342.8571,68.2924,31.7076,1.1607,-0.7508954280497226
2026-03-02,2026-03-08,100,1674,62091400,50799200.0,11292200.0,6183700.847735578,8870200.0,81.8136,18.1864,0.5557,-12.127018811102117
2026-03-09,2026-03-15,100,1801,70921600,44232400.0,26689200.0,6649081.999979319,10131657.1429,62.368,37.632,1.5085,14.221293125940146
2026-03-16,2026-03-22,100,1746,64634900,50327000.0,14307900.0,4476762.8600704465,9233557.1429,77.8635,22.1365,0.7107,-8.864295221766007
2026-03-23,2026-03-29,100,1861,77716600,54697500.0,23019100.0,6915966.208236516,11102371.4286,70.3807,29.6193,1.0521,20.239375322000964
2026-03-30,2026-04-05,100,1751,67903900,35603100.0,32300800.0,5459135.947030744,9700557.1429,52.4316,47.5684,2.2681,-12.626260026815379
2026-04-06,2026-04-12,100,1702,67924800,52452000.0,15472800.0,5820548.25838282,9703542.8571,77.2207,22.7793,0.7375,0.030778791792518544
2026-04-13,2026-04-19,100,1732,62742500,51487600.0,11254900.0,5885176.636122942,8963214.2857,82.0618,17.9382,0.5465,-7.629466704355405
2026-04-20,2026-04-26,100,1879,79921300,53135700.0,26785600.0,8041917.755950342,11417328.5714,66.485,33.515,1.2602,27.379846196756585
2026-04-27,2026-05-03,100,955,30527800,30527800.0,0.0,3091408.742385905,4361114.2857,100.0,0.0,0.0,-61.80267337993751
