멤버 id,id,사용 금액,사용 시간,결제 내역,결제 장소 (가맹점 여부),할부 여부,할부 개월,할부 무/유이자 여부,거래 상태 (승인 / 취소),해외 결제,업종 카테고리,결제 방식 (온/오프라인)
1,30001,65000,2024-01-01 10:00,SKT통신비,Y,N,0,-,승인,N,생활,자동이체
1,30002,3714,2024-01-01 09:01,이디야,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30003,8283,2024-01-01 11:12,서브웨이,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30004,5336,2024-01-01 13:23,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30005,11517,2024-01-01 13:39,서브웨이,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30006,8022,2024-01-01 14:22,맥도날드,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30007,30947,2024-01-01 18:38,배달의민족,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30008,5720,2024-01-02 08:32,편의점도시락,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30009,5010,2024-01-02 13:04,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30010,1250,2024-01-02 13:14,시내버스,Y,N,0,-,승인,N,교통,온라인 - 카카오페이
1,30011,4264,2024-01-02 15:01,이디야,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30012,1266,2024-01-02 17:40,지하철,Y,N,0,-,승인,N,교통,오프라인 - 삼성페이
1,30013,29572,2024-01-02 18:19,배달의민족,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30014,37078,2024-01-03 10:53,쿠팡,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30015,6744,2024-01-03 11:42,투썸플레이스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30016,1250,2024-01-03 12:07,시내버스,Y,N,0,-,승인,N,교통,오프라인 - 삼성페이
1,30017,4801,2024-01-03 13:07,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30018,7306,2024-01-03 16:29,맥도날드,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30019,28918,2024-01-03 20:14,쿠팡이츠,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30020,47385,2024-01-04 11:37,치과,Y,N,0,-,승인,N,의료,오프라인 - 삼성페이
1,30021,3867,2024-01-04 13:03,이디야,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30022,4348,2024-01-04 13:32,이디야,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30023,2520,2024-01-04 15:00,다이소,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30024,21962,2024-01-04 19:28,배달의민족,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30025,22630,2024-01-04 23:41,쿠팡이츠,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30026,10127,2024-01-05 08:02,맥도날드,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30027,6963,2024-01-05 17:11,편의점도시락,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30028,9150,2024-01-05 17:22,GS25,Y,N,0,-,승인,N,쇼핑,온라인 - 카카오페이
1,30029,6064,2024-01-05 17:43,투썸플레이스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30030,6190,2024-01-05 18:40,약국,Y,N,0,-,승인,N,의료,온라인 - 카카오페이
1,30031,30368,2024-01-06 12:25,치과,Y,N,0,-,승인,N,의료,오프라인 - 삼성페이
1,30032,5621,2024-01-06 13:43,편의점도시락,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30033,7075,2024-01-06 15:06,약국,Y,N,0,-,승인,N,의료,온라인 - 카카오페이
1,30034,37869,2024-01-06 21:36,쿠팡,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30035,26013,2024-01-06 23:43,배달의민족,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30036,8941,2024-01-07 11:14,GS25,Y,N,0,-,승인,N,쇼핑,온라인 - 카카오페이
1,30037,4631,2024-01-07 12:56,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30038,6054,2024-01-07 17:43,투썸플레이스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30039,20221,2024-01-07 18:25,쿠팡이츠,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30040,1372,2024-01-07 23:27,지하철,Y,N,0,-,승인,N,교통,오프라인 - 삼성페이
1,30041,5293,2024-01-08 09:42,투썸플레이스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30042,4722,2024-01-08 12:54,이디야,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30043,5330,2024-01-08 15:10,편의점도시락,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30044,5585,2024-01-08 17:40,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30045,33184,2024-01-08 20:07,배달의민족,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30046,1250,2024-01-09 12:00,시내버스,Y,N,0,-,승인,N,교통,오프라인 - 삼성페이
1,30047,5898,2024-01-09 15:00,편의점도시락,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30048,3722,2024-01-09 15:10,이디야,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30049,6164,2024-01-09 16:04,CU,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30050,25444,2024-01-09 21:08,쿠팡이츠,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30051,3657,2024-01-09 23:49,GS25,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30052,11541,2024-01-10 09:49,맥도날드,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30053,1250,2024-01-10 11:22,시내버스,Y,N,0,-,승인,N,교통,온라인 - 카카오페이
1,30054,3967,2024-01-10 14:21,이디야,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30055,17262,2024-01-10 19:06,쿠팡이츠,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30056,9307,2024-01-11 09:09,서브웨이,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30057,3625,2024-01-11 11:04,이디야,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30058,4600,2024-01-11 12:40,이디야,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30059,1361,2024-01-11 13:12,지하철,Y,N,0,-,승인,N,교통,오프라인 - 삼성페이
1,30060,23314,2024-01-11 21:15,배달의민족,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30061,11611,2024-01-12 09:00,서브웨이,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30062,5242,2024-01-12 16:00,편의점도시락,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30063,1294,2024-01-12 17:31,지하철,Y,N,0,-,승인,N,교통,온라인 - 카카오페이
1,30064,22552,2024-01-12 20:13,쿠팡이츠,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30065,5826,2024-01-13 09:30,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30066,8986,2024-01-13 11:02,맥도날드,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30067,17451,2024-01-13 16:22,쿠팡,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30068,4649,2024-01-13 16:36,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30069,37665,2024-01-13 21:35,쿠팡,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30070,9679,2024-01-14 14:00,서브웨이,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30071,12810,2024-01-14 15:00,서브웨이,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30072,5929,2024-01-14 15:18,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30073,4622,2024-01-14 15:19,CU,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30074,20458,2024-01-14 20:16,쿠팡이츠,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30075,21317,2024-01-14 23:41,쿠팡이츠,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30076,6034,2024-01-15 09:27,편의점도시락,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30077,10513,2024-01-15 16:27,서브웨이,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30078,20071,2024-01-15 16:49,치과,Y,N,0,-,승인,N,의료,오프라인 - 삼성페이
1,30079,10760,2024-01-15 17:54,맥도날드,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30080,21356,2024-01-15 20:19,쿠팡이츠,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30464,1500000,2024-01-15 14:30,OO종합병원,Y,Y,12,무이자,승인,N,의료,오프라인 - 실물카드
1,30081,6979,2024-01-16 09:42,편의점도시락,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30082,9905,2024-01-16 15:17,맥도날드,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30083,10931,2024-01-16 16:01,맥도날드,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30084,4180,2024-01-16 17:55,이디야,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30085,17299,2024-01-16 21:56,쿠팡,Y,N,0,-,승인,N,쇼핑,온라인 - 카카오페이
1,30086,9860,2024-01-17 13:34,다이소,Y,N,0,-,승인,N,쇼핑,온라인 - 카카오페이
1,30087,5871,2024-01-17 14:45,스타벅스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30088,5090,2024-01-17 14:49,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30089,5099,2024-01-17 22:52,다이소,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30090,29933,2024-01-17 23:26,쿠팡이츠,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30091,4960,2024-01-18 08:29,스타벅스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30092,10737,2024-01-18 14:27,서브웨이,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30093,5173,2024-01-18 14:49,편의점도시락,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30094,6490,2024-01-18 16:24,CU,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30095,29246,2024-01-18 22:21,배달의민족,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30096,4726,2024-01-19 08:07,이디야,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30097,8742,2024-01-19 11:39,서브웨이,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30098,1250,2024-01-19 12:38,시내버스,Y,N,0,-,승인,N,교통,오프라인 - 삼성페이
1,30099,6326,2024-01-19 14:55,투썸플레이스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30100,5751,2024-01-19 16:30,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30101,4872,2024-01-19 21:13,약국,Y,N,0,-,승인,N,의료,온라인 - 카카오페이
1,30102,9728,2024-01-20 10:17,GS25,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30103,5930,2024-01-20 11:04,편의점도시락,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30104,4785,2024-01-20 11:25,이디야,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30105,5906,2024-01-20 14:04,스타벅스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30106,10510,2024-01-20 14:28,서브웨이,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30107,23341,2024-01-20 18:53,쿠팡이츠,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30108,37587,2024-01-21 10:03,치과,Y,N,0,-,승인,N,의료,오프라인 - 삼성페이
1,30109,9191,2024-01-21 11:32,서브웨이,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30110,4925,2024-01-21 12:47,이디야,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30111,6709,2024-01-21 13:52,카카오택시,Y,N,0,-,승인,N,교통,오프라인 - 삼성페이
1,30112,7720,2024-01-21 18:01,GS25,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30113,5353,2024-01-22 08:47,편의점도시락,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30114,6333,2024-01-22 12:43,편의점도시락,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30115,5347,2024-01-22 13:12,편의점도시락,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30116,9037,2024-01-22 13:42,맥도날드,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30117,31846,2024-01-22 16:48,쿠팡,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30118,7795,2024-01-22 22:16,약국,Y,N,0,-,승인,N,의료,온라인 - 카카오페이
1,30119,10285,2024-01-23 09:12,서브웨이,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30120,11533,2024-01-23 11:44,서브웨이,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30121,4564,2024-01-23 13:38,이디야,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30122,10504,2024-01-23 16:42,서브웨이,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30123,29126,2024-01-23 22:18,배달의민족,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30124,5763,2024-01-24 10:39,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30125,4034,2024-01-24 14:39,이디야,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30126,8435,2024-01-24 17:40,GS25,Y,N,0,-,승인,N,쇼핑,온라인 - 카카오페이
1,30127,23671,2024-01-24 21:48,쿠팡이츠,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30128,11595,2024-01-25 08:09,맥도날드,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30129,1315,2024-01-25 11:02,지하철,Y,N,0,-,승인,N,교통,온라인 - 카카오페이
1,30130,10908,2024-01-25 11:17,맥도날드,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30131,9154,2024-01-25 17:55,서브웨이,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30132,25880,2024-01-25 19:22,배달의민족,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30133,11054,2024-01-26 10:03,카카오택시,Y,N,0,-,승인,N,교통,온라인 - 카카오페이
1,30134,6732,2024-01-26 13:37,투썸플레이스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30135,9510,2024-01-26 17:21,맥도날드,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30136,25268,2024-01-26 19:07,쿠팡이츠,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30137,5377,2024-01-27 08:27,편의점도시락,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30138,6130,2024-01-27 15:16,편의점도시락,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30139,8906,2024-01-27 17:48,GS25,Y,N,0,-,승인,N,쇼핑,온라인 - 카카오페이
1,30140,21802,2024-01-27 21:16,쿠팡이츠,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30141,7734,2024-01-28 09:16,맥도날드,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30142,6330,2024-01-28 12:47,CU,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30143,25284,2024-01-28 13:26,치과,Y,N,0,-,승인,N,의료,오프라인 - 삼성페이
1,30144,7523,2024-01-28 17:21,맥도날드,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30145,24083,2024-01-28 22:20,쿠팡이츠,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30146,11906,2024-01-29 10:33,맥도날드,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30147,5428,2024-01-29 11:12,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30148,6432,2024-01-29 11:38,편의점도시락,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30149,6268,2024-01-29 12:29,약국,Y,N,0,-,승인,N,의료,온라인 - 카카오페이
1,30150,13723,2024-01-29 16:54,카카오택시,Y,N,0,-,승인,N,교통,온라인 - 카카오페이
1,30151,4219,2024-01-29 20:15,CU,Y,N,0,-,승인,N,쇼핑,온라인 - 카카오페이
1,30152,4285,2024-01-30 13:02,CU,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30153,8989,2024-01-30 15:45,맥도날드,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30154,29361,2024-01-30 19:27,쿠팡이츠,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30155,38580,2024-01-30 23:40,치과,Y,N,0,-,승인,N,의료,온라인 - 카카오페이
1,30156,5353,2024-01-31 10:47,투썸플레이스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30157,5688,2024-01-31 12:14,편의점도시락,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30158,6940,2024-01-31 15:18,편의점도시락,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30159,29458,2024-01-31 16:57,쿠팡,Y,N,0,-,승인,N,쇼핑,온라인 - 카카오페이
1,30160,9080,2024-01-31 19:49,GS25,Y,N,0,-,승인,N,쇼핑,온라인 - 카카오페이
1,30161,65000,2024-02-01 10:00,SKT통신비,Y,N,0,-,승인,N,생활,자동이체
1,30162,6321,2024-02-01 11:24,편의점도시락,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30163,8876,2024-02-01 13:39,서브웨이,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,30164,11358,2024-02-01 14:42,카카오택시,Y,N,0,-,승인,N,교통,온라인 - 카카오페이
1,30165,8916,2024-02-01 16:10,카카오택시,Y,N,0,-,승인,N,교통,온라인 - 카카오페이
1,30166,29577,2024-02-01 18:51,배달의민족,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30167,25778,2024-02-01 23:39,쿠팡이츠,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30168,11786,2024-02-02 08:00,카카오택시,Y,N,0,-,승인,N,교통,온라인 - 카카오페이
1,30169,17616,2024-02-02 13:07,쿠팡,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30170,13232,2024-02-02 14:25,쿠팡,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,30171,6797,2024-02-02 17:31,편의점도시락,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30172,17800,2024-02-02 21:11,쿠팡이츠,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30173,8219,2024-02-03 10:31,GS25,Y,N,0,-,승인,N,쇼핑,온라인 - 카카오페이
1,30174,1366,2024-02-03 15:14,지하철,Y,N,0,-,승인,N,교통,온라인 - 카카오페이
1,30175,5792,2024-02-03 17:41,편의점도시락,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30176,5527,2024-02-03 17:47,스타벅스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,30177,24613,2024-02-03 21:44,배달의민족,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
