멤버 id,id,사용 금액,사용 시간,결제 내역,결제 장소 (가맹점 여부),할부 여부,할부 개월,할부 무/유이자 여부,거래 상태 (승인 / 취소),해외 결제,업종 카테고리,결제 방식 (온/오프라인)
1,60001,14900,2024-04-01 10:00,유튜브프리미엄,Y,N,0,-,승인,N,생활,자동이체
1,60002,17000,2024-04-01 10:00,넷플릭스,Y,N,0,-,승인,N,생활,자동이체
1,60003,65000,2024-04-01 10:00,SKT통신비,Y,N,0,-,승인,N,생활,자동이체
1,60004,1486,2024-04-01 08:01,지하철,Y,N,0,-,승인,N,교통,온라인 - 카카오페이
1,60005,10154,2024-04-01 08:30,카카오택시,Y,N,0,-,승인,N,교통,오프라인 - 삼성페이
1,60006,4355,2024-04-01 09:50,이디야,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60007,5471,2024-04-01 15:37,스타벅스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60008,13428,2024-04-01 19:46,내과,Y,N,0,-,승인,N,의료,오프라인 - 삼성페이
1,60009,1250,2024-04-01 23:28,시내버스,Y,N,0,-,승인,N,교통,오프라인 - 삼성페이
1,60010,4609,2024-04-02 11:41,스타벅스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60011,11445,2024-04-02 11:49,맥도날드,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60012,5894,2024-04-02 11:56,투썸플레이스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60013,8691,2024-04-02 13:21,CU,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60014,6177,2024-04-02 14:22,스타벅스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60015,23772,2024-04-02 22:20,배달의민족,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60016,4639,2024-04-03 09:03,스타벅스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60017,9935,2024-04-03 14:36,맥도날드,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60018,4647,2024-04-03 16:16,이디야,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60019,12853,2024-04-03 18:01,내과,Y,N,0,-,승인,N,의료,오프라인 - 삼성페이
1,60020,3502,2024-04-03 18:07,이디야,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60021,24370,2024-04-03 20:08,쿠팡이츠,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60022,12640,2024-04-04 09:12,서브웨이,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60023,4716,2024-04-04 10:49,스타벅스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60024,5468,2024-04-04 12:02,투썸플레이스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60025,5770,2024-04-04 17:46,CU,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60026,24432,2024-04-04 21:05,배달의민족,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60027,6377,2024-04-05 11:04,스타벅스,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60028,9258,2024-04-05 12:29,서브웨이,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60029,28701,2024-04-05 18:22,배달의민족,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60030,11128,2024-04-05 18:43,맥도날드,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60031,7620,2024-04-06 09:08,GS25,Y,N,0,-,승인,N,쇼핑,온라인 - 카카오페이
1,60032,9774,2024-04-06 09:55,서브웨이,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60033,9054,2024-04-06 15:59,다이소,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,60034,10194,2024-04-06 16:56,맥도날드,Y,N,0,-,승인,N,식비,오프라인 - 삼성페이
1,60035,14549,2024-04-06 18:51,내과,Y,N,0,-,승인,N,의료,오프라인 - 삼성페이
1,60036,22886,2024-04-06 21:34,쿠팡이츠,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60037,20359,2024-04-06 23:56,배달의민족,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60038,2396,2024-04-07 14:35,다이소,Y,N,0,-,승인,N,쇼핑,오프라인 - 삼성페이
1,60039,21422,2024-04-07 18:04,배달의민족,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60040,19993,2024-04-07 19:23,배달의민족,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60041,44282,2024-04-07 19:27,쿠팡,Y,N,0,-,승인,N,쇼핑,온라인 - 카카오페이
1,60042,16422,2024-04-07 21:51,카카오택시,Y,N,0,-,승인,N,교통,온라인 - 카카오페이
1,60043,4796,2024-04-08 10:30,이디야,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60044,4909,2024-04-08 15:28,이디야,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60045,9326,2024-04-08 17:32,CU,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
1,60046,5800,2024-04-08 17:55,투썸플레이스,Y,N,0,-,승인,N,식비,온라인 - 카카오페이
